CRS,Tiploc,Description,Stannox
AWT,ARMTHWT,ARMATHWAITE,9415
LZB,LAZKRKO,LAZONBY & KIRKOSWALD,9416
,NWBIDRS,NEW BIGGIN (DRS),9417
LGW,LWBY,LANGWATHBY,9418
,NWBICUL,CULGAITH SIGNAL BOX LC,9419
,NWBIKTH,KIRKBY THORE SIGNAL BOX,9420
,NWBIBG,NEW BIGGIN BRITISH GYPSUM,9421
,NWBIREP,NEW BIGGIN WAGON REPAIRS,9422
,NWBIT55,KIRKBY THORE SIG. KT55,9423
,LMAR,LONG MARTON,9424
,NWBIGBR,NEW BIGGIN (GBRF),9425
APP,APBY,APPLEBY,9426
,APBYNE,APPLEBY NORTH EAST SDGS,9427
,WARCOP,WARCOP,9428
,ORMMSID,ORMSIDE,9429
,HELTNL,HELM TUNNEL,9430
,CROGAR,CROSBY GARRETT,9431
,KSTPURS,KIRKBY STEPHEN URS,9434
,KSTP9,KIRKBY STEPHEN KS9,9435
KSW,KSTP,KIRKBY STEPHEN,9436
,BRKTNL,BIRKETT TUNNEL,9437
,AISGILL,AIS GILL,9438
,MALRSTG,MALLERSTANG,9439
GSD,GARSDLE,GARSDALE,9440
,GARSCE,GARSDALE URS (CE),9441
DNT,DENT,DENT,9443
,BLEMOR,BLEA MOOR,9445
,BLEMUGL,BLEA MOOR U.G.L.,9446
,RIBLHGB,RIBBLEHEAD VQ GBRF,9507
RHD,RIBLHED,RIBBLEHEAD,9508
,RIBLHVQ,RIBLEHEAD (VIRTUAL QUARRY),9509
,RIBLHVD,RIBBLEHEAD VIADUCT,9510
,ARCQGBF,ARCOW QUARRY GBRF,9511
,ARCQGF,ARCOW QUARRY GF,9512
HIR,HTNRIBL,HORTON-IN-RIBBLESDALE,9513
,CROGSMA,SMARDALE VIADUCT,9515
,HELWTHB,HELWITH BRIDGE,9517
SET,SETTLE,SETTLE,9521
,SKPT549,SKIPTON STH JN SIG L4549,9522
,SETTLEJ,SETTLE JN,9523
,SKPT031,SKIPTON STH JN SIG L4031,9524
LPR,LPRESTN,LONG PRESTON,9525
,HELILOP,HELLIFIELD GOODS LOOPS,9526
HLD,HELIFLD,HELLIFIELD,9527
GGV,GRGRAVE,GARGRAVE,9529
,SKPT046,SKIPTON SIG L4046,9530
SKI,SKPT,SKIPTON,9531
,SKPTBCS,SKIPTON BROUGHTON RD C.S.,9532
,SKPTNHS,SKIPTON H.S.,9533
,SKPTSNJ,SKIPTON DOWN SHIPLEY SLOW,9535
,SKPTDSS,SKIPTON DOWN STABLING SDG,9536
,RYLSTON,RYLSTONE TILCON,9541
,RYLSGBF,RYLSTONE TILCON (GBRF),9542
,RYLSQRY,RYLSTONE (SWINDEN) QUARRY,9543
,RYLSLC,RYLSTONE LC,9545
ASP,ASPTRIA,ASPATRIA,10021
MRY,MPRT,MARYPORT,10023
FLM,FLIMBY,FLIMBY,10026
,SIDICKJ,SIDDICK JN,10031
,WKNTCRL,PORT OF WORKINGTON COLAS,10032
,WKNTDRS,WORKINGTON DOCKS (DRS),10033
,WKNTDRP,WORKINGTON DKS REPAIR DRS,10034
,WKNTDKS,WORKINGTON DOCKS (CCC),10035
,WKNTFLR,WORKINGTON DOCKS (FLR),10037
,WKNTDJ,WORKINGTON DERWENT JN,10039
,WKNTNHS,WORKINGTON H.S.,10043
WKG,WKNT,WORKINGTON,10050
,WKNTDRL,WORKINGTON U.D.R.L.,10050
,WKNT2SB,WORKINGTON MAIN NO.2 SB,10051
,WKNTMBI,MOSS BAY IRONWORKS,10052
,PBCKFHH,POWBECK RAILHEAD,10053
,WKNTNYD,WORKINGTON S.S.,10055
HRR,HNGT,HARRINGTON,10057
,PARTNNJ,PARTON NORTH JN,10058
PRN,PARTON,PARTON,10059
WTH,WHITHVN,WHITEHAVEN,10101
CKL,CRCK,CORKICKLE,10124
,MIREJN,MIREHOUSE JUNCTION,10130
BYS,BRYSTNS,BRAYSTONES,10195
NRT,NETHRTN,NETHERTOWN,10197
SBS,STBEES,ST BEES,10199
SEL,SELAFLD,SELLAFIELD,10201
,SELABNF,SELLAFIELD B.N.F.,10202
SSC,SEASCAL,SEASCALE,10203
,DRIGBNF,DRIGG BNF,10204
DRI,DRIGG,DRIGG,10205
RAV,RGLS,RAVENGLASS FOR ESKDALE,10206
,SELAEWS,SELLAFIELD (DBC),10207
,SELADRS,SELLAFIELD (DRS),10209
,SELAS18,SELLAFIELD SIGNAL SD18,10210
WDM,WMER,WINDERMERE,11001
SVL,STAVELY,STAVELEY,11003
BUD,BNSD,BURNESIDE,11005
KEN,KENDAL,KENDAL,11007
,OXENUGL,OXENHOLME UP GOODS LOOP,11009
,OXENDGL,OXENHOLME DOWN GOODS LOOP,11010
,OXENCE,OXENHOLME ISU (CE),11011
OXN,OXENHLM,OXENHOLME LAKE DISTRICT,11012
,OXEN45,OXENHOLME SIGNAL CE45,11013
,OXENSTH,OXENHOLME SOUTH JN,11014
,MLNT,MILNTHORPE,11015
,ESKMLS,ESKMEALS,11207
,SILCWIT,WHITBECK,11208
BOC,BOOTLE,BOOTLE,11209
SIC,SILCRFT,SILECROFT,11210
MLM,MLLM,MILLOM,11211
,MLLMSDG,MILLOM SIDING (DBS),11212
,MLLMDRS,MILLOM LOADING POINT (DRS),11213
GNR,GREENRD,GREEN ROAD,11215
FOX,FOXFILD,FOXFIELD,11221
KBF,KRKBYIF,KIRKBY-IN-FURNESS,11223
ASK,ASKAM,ASKAM,11225
,ASKAM6,ASKAM SIGNAL AM6,11226
,PSTH,PARK SOUTH,11227
BIF,BAROW,BARROW-IN-FURNESS,11231
,BAROWHS,BARROW L.I.P.,11231
,BARO54,BARROW-N-FRNS SIG 52/53/54,11232
XBF,BAROWCS,BARROW C.S.,11233
,BAROWRD,BARROW MARINE TERMINAL,11243
,BAROWEW,BARROW DOCKS (ABP),11247
,BAROWYD,BARROW-IN-FURNESS T.C.,11249
,BAROSHJ,SALTHOUSE JN,11259
ROO,ROOSE,ROOSE,11261
,ROOSPHF,PARK HOUSE FARM,11262
,DALTONJ,DALTON JN,11269
DLT,DALTON,DALTON,11271
,DALTLTN,LINDAL TUNNEL,11273
ULV,ULVRSTN,ULVERSTON,11311
,PLMPTNJ,PLUMPTON JN,11321
CAK,CARK,CARK,11331
KBK,KTBK,KENTS BANK,11341
GOS,GOVS,GRANGE-OVER-SANDS,11401
,GOVS4,GRANGE-OVER-SANDS SIGNAL 4,11402
ARN,ARNSIDE,ARNSIDE,11403
SVR,SDAL,SILVERDALE,11405
,CRNFFMJ,CARNFORTH F&M JN,11515
XCS,CRNFUGL,CARNFORTH D&U.G.L.,11519
,CRNFSTM,CARNFORTH STEAMTOWN,11522
,CRNFRTC,CARNFORTH T.C.,11523
,CRNFCES,CARNFORTH BTM END CE SDG,11524
CNF,CRNF,CARNFORTH,11525
XOA,CRNFNJN,CARNFORTH NORTH JN,11526
,CRNFRHS,CARNFORTH H.S.,11527
,CRNFVQ,CARNFORTH VIRTUAL QUARRY,11528
,CRNFPD,CARNFORTH PLANT SDG (WCA),11529
,CRNFUPL,CARNFORTH UP PASSENGR LOOP,11530
,CRNFDSG,CARNFORTH DOWN SDGS,11531
,CRNFSJN,CARNFORTH SOUTH JN,11532
WNN,WENNGTN,WENNINGTON,11561
BEN,BNTHAM,BENTHAM,11563
CPY,CLPM,CLAPHAM (NTH YORKSHIRE),11565
GIG,GGLSWCK,GIGGLESWICK,11567
,HEYMCEG,HEYSHAM HARBOUR P.S.,11603
,HEYMST,HEYSHAM PORT,11611
HHB,HEYSHBR,HEYSHAM HARBOUR,11611
MCM,MORCAME,MORECAMBE,11701
,MORCJGF,MORECAMBE JN G.F.,11703
BAR,BARELA,BARE LANE,11711
,HESTBNK,HEST BANK,11716
,MORCMSJ,MORECAMBE SOUTH JN,11718
LAN,LANCSTR,LANCASTER,11720
,LANCUGL,LANCASTER SOUTH JN UGL,11722
,OUBCKGL,OUBECK GOODS LOOP,11723
,BAYHORS,BAY HORSE,11725
,WYREVIA,WYRE VIADUCT,11726
,GSTANG,GARSTANG & CATTERAL,11727
,BRWCNDS,BERWICK-U-T NTH DOWN SDGS,12000
BWK,BRWCKUT,BERWICK-UPON-TWEED,12001
,BRWCKGL,BERWICK UPON TWEED GDS LP,12002
,TWEDMTH,TWEEDMOUTH F.D.,12003
,TWEDMSB,TWEEDMOUTH S.B.,12005
,BEAL136,BEAL CROSSOVERS TW136,12101
,BEAL134,BEAL CROSSOVERS TW134,12103
,CRAGMIL,CRAG MILL LOOP,12104
,BEAL,BEAL L.C.,12105
,BELFORD,BELFORD L.C.,12106
,BELFDRS,BELFORD DOWN RECESS SDGS,12107
,BEALSMA,SMEAFIELD,12108
CHT,CHHL,CHATHILL,12109
,CHHLCHR,CHRISTON BANK,12110
,ALNMILL,LITTLE MILL LC,12111
ALM,ALNMOTH,ALNMOUTH FOR ALNWICK,12112
,WNGTJN,WOODEN GATE JN.,12113
,BELFTS,BELFORD TAMPER SIDINGS,12114
ACK,ACKLNGT,ACKLINGTON,12115
,CHVNGTN,CHEVINGTON LOOP,12116
,CHTHAP,CHATHILL APCO,12117
WDD,WDRNGTN,WIDDRINGTON,12119
,BUTRWLJ,BUTTERWELL JN,12121
,CHVNLDS,CHEVINGTON LOOP DOWN SDG,12122
,CHVNNC,CHEVINGTON NRTH CROSSOVERS,12123
PEG,PEGSWD,PEGSWOOD,12124
,ALNMUES,ALNMOUTH UP ENG SIDINGS,12125
,BUTR160,BUTTERWELL JN M160,12126
,MRPTNJN,MORPETH NORTH JN,12127
,MRPTLP,MORPETH LOOP,12129
,MRPTREC,MORPETH RECP.,12131
MPT,MRPTHRP,MORPETH,12132
,MRPTHEP,HEPSCOTT JN,12133
,MRPTPX,PLESSEY CROSSOVERS,12135
CRM,CRMLNGT,CRAMLINGTON,12136
,MRPTHRS,MORPETH REVERSING SIDING,12137
,MRPTBTS,MORPETH BARMOOR THRU SDG,12138
,BENTKIL,KILLINGWORTH,12139
,PTBNGBR,POTLAND BURN GBRF,12205
,PTBNFHH,POTLAND BURN (FHH),12206
,PTBNDBS,POTLAND BURN DB SCHENKER,12207
,BUTRGBF,BUTTERWELL OPENCAST (GBRF),12208
,BUTROCT,BUTTERWELL OPENCAST,12209
,BUTRFHH,BUTTERWELL OPENCAST (FLHH),12210
,BUTRDCR,BUTTERWELL (DCR),12211
,LYNMSGB,LYNEMOUTH SMELTER GBRF,12212
,ASHGTNJ,ASHINGTON JN,12213
,LYNMABJ,ALCAN BRANCH JN.,12214
,LYNMTHC,LYNEMOUTH RJB MINING,12215
,LYNMTHA,LYNEMOUTH DBC INT,12216
,LYNMTHL,LYNEMOUTH DBC,12217
,LYNMFHH,LYNEMOUTH POWER STN (FLHH),12218
,LYNMACS,LYNEMOUTH COAL SIDINGS,12219
,NBLYFHH,NORTH BLYTH (FLHH),12220
,NBLYACN,NORTH BLYTH,12221
,NBLYEWS,NORTH BLYTH (DBC),12222
,NBLYLP,NORTH BLYTH LOOP,12223
,LYNMGBF,LYNEMOUTH POWER STN (GBRF),12224
,NBLYGBF,NORTH BLYTH GBRF,12225
,NBLYAGB,NORTH BLYTH ALCAN GBRF,12226
,NBLYRP,NORTH BLYTH RP GBRF,12227
,BLYTLIP,BLYTH CAMBOIS L.I.P.,12230
,BLYTCW,BLYTH EWS C&W,12231
,WBLYTHR,WEST BLYTH RECP.,12233
,BLYTCPS,CAMBOIS POWR STATION BLYTH,12234
,FREMNSX,FREEMANS L.C.,12235
,BDLNTNX,BEDLINGTON NTH. L.C.,12236
,BDLNMHJ,MARCHEYS HOUSE JN,12238
,WSLKBNJ,WEST SLEEKBURN JN,12239
,WSLKWXJ,WINNING CROSSING JUNCTION,12240
,BDLNTNS,BEDL'TON FURNACEWAY SDGS,12241
,NSHMLC,NEWSHAM L.C.,12247
,NSHMSEG,SEGHILL NORTH,12251
,BENTON,BENTON NTH JN,12255
APN,AIRP,AIRPORT (NEWCASTLE),12401
REG,NWCSRC,REGENT CENTRE (NEWCASTLE),12405
SGH,SGOS,SOUTH GOSFORTH,12411
BNO,BENTMET,BENTON (METRO),12419
TYP,TYNEMTH,TYNEMOUTH (METRO),12430
,HTONSJN,HEATON STH. JN.,12710
XHT,HTONTMD,HEATON T&R.S.M.D.,12714
,HTONECD,HEATON ECD,12715
,HTONNJN,HEATON NORTH JN,12716
MAS,MANORS,MANORS,12719
MRM,MANOMET,MANORS (METRO),12721
SJN,SNTJ,ST. JAMES (NEWCASTLE),12725
,NWCSCE,NEWCASTLE FORTH ISU (CE),12925
,FRTHBKL,FORTH BANKS LINE,12927
NCZ,NWCSTLL,NEWCASTLE (METRO),12929
,NWCS042,NEWCASTLE SIGNAL T6042,12930
,NWCSCEE,NEWCASTLE CENTRAL EAST END,12931
,NWCSCWE,NEWCASTLE CENTRAL WEST END,12931
NCL,NWCSTLE,NEWCASTLE,12931
,KEBGSJN,KING EDWARD BRIDGE S. JN,12932
,KEBGEJN,KING EDWARD BRIDGE E. JN,12933
,KEBGNJN,KING EDWARD BRIDGE N. JN,12934
,JARRPTA,TYNE DOCK P T A,13001
,JARRFHH,TYNE DOCK (FLHH),13002
,JARRAUT,TYNE DOCK DBC (AUTOMOTIVE),13004
,JARRGBF,TYNE COAL TERMINAL GBRF,13006
,JARRAFL,TYNE DOCKS AFL,13009
,JARROWS,JARROW SHELL,13033
,WRDLRJB,WARDLEY RJB MINING,13142
,WRDLFHH,WARDLEY OPENCAST DP (FHH),13143
FEG,FELL,FELLGATE,13150
,PELAW,PELAW JN.,13151
,PELAWMJ,PELAW METRO JUNCTION,13152
,PELAWGL,PELAW GOODS LOOPS,13153
PAW,PELAWTW,PELAW TYNE & WEAR METRO,13154
HEW,HEWORTH,HEWORTH,13156
HEZ,HEWOMTR,HEWORTH (METRO),13157
,TYNSCFD,TYNESIDE T.C.,13202
,PKLNJN,PARK LANE JN GATESHEAD,13215
,HLBDGJN,HIGH LEVEL BRIDGE JN,13239
,GRNSFDJ,GREENSFIELD JN.,13242
,WETHCOR,CORBY GATES S.B.,13297
,WETHOW,HOW MILL,13298
WRL,WETHERL,WETHERAL,13299
,LOWRDEN,UPPER DENTON AHB,13300
,BRMPTNF,BRAMPTON FELL S.B.,13301
BMP,BRMPTNC,BRAMPTON (CUMBRIA),13302
XRL,LOWRWSB,LOW ROW S.B.,13303
,HLTWLBY,LONG BYRE,13304
HWH,HLTWHST,HALTWHISTLE,13305
,HLTWWLG,HALTWHISTLE WEST LODGE LC,13306
,MLKRDGE,MELKRIDGE OPENCAST,13307
,MLKR102,MELKRIDGE SIG HW102,13308
,HLTW57,HALTWHISTLE SIG 57,13309
,HEXHTS,HEXHAM TAMPER SIDINGS,13310
BLL,BRDNML,BARDON MILL,13311
HDB,HYDB,HAYDON BRIDGE,13313
,HYDBFST,FOURSTONES,13314
,HEXHFD,HEXHAM FREIGHT DEPOT,13315
HEX,HEXHAM,HEXHAM,13316
,HEXHCE,HEXHAM ISU (CE),13317
CRB,CRBG,CORBRIDGE,13318
RDM,RIDNGML,RIDING MILL,13319
,HEXH55,HEXHAM SIG HE55 REV,13320
SKS,STCKSFL,STOCKSFIELD,13321
PRU,PRUDHOE,PRUDHOE,13322
,HEXHM35,HEXHAM SIG HM35,13323
,HEXHM55,HEXHAM SIG HM55,13324
WYM,WYLAM,WYLAM,13327
BLO,BLAYDON,BLAYDON,13403
,SWLWJN,SWALWELL JN,13514
MCE,GTSHDMC,METROCENTRE,13515
DOT,DNSN,DUNSTON,13523
,NRWDJN,NORWOOD JN.,13526
,LOWFRMT,LOW FELL ROYAL MAIL TMNL,13539
,LOWFGBR,LOW FELL GB RAILFREIGHT,13540
,LOWFELJ,LOW FELL JN,13542
,LOWFECE,LOW FELL ISU (CE),13543
,LOWF203,LOW FELL SIG T203,13544
,LOWF201,LOW FELL SIG T201,13545
,TYNEVIR,TYNE YARD VIRTUAL Q&T,13549
TYN,TYNEY,TYNE S.S.,13550
,TYNEYD,TYNE YARD T.M.D.,13551
,TYNE193,TYNE YARD SIG T193,13552
,TYNE176,TYNE YARD SIG T176,13553
,BRTLYJN,BIRTLEY JN,13554
,CLSTOXO,OUSTON CROSSOVERS,13565
CLS,CLST,CHESTER-LE-STREET,13571
,CLSTPLA,PLAWSWORTH,13573
,DRHM358,DURHAM SIG TY358,13695
,DRHM357,DURHAM SIG.TY357,13697
,HORD137,HORDEN SIGNAL NS7137,13700
,HORD148,HORDEN SIGNAL NS7148,13701
DHM,DRHM,DURHAM,13702
HRE,HORD,HORDEN,13703
,TURSDLJ,TURSDALE JN,13800
,TURSDLS,TURSDALE SIDING,13800
,BRWHBNJ,BOLDON NORTH JUNCTION,14001
,BRWHBWJ,BOLDON WEST JCN,14002
BNR,BRWHINS,BROCKLEY WHINS,14003
,EBOLDUL,EAST BOLDON UP LOOP,14005
EBL,EBOLDON,EAST BOLDON,14006
,BRWHBEJ,BOLDON EAST JN,14007
SEB,SEABURN,SEABURN,14008
,BRWHGLJ,GREEN LANE JN (PTA BNDRY),14009
,SNDRMSB,MONKWEARMOUTH S.B.,14022
STZ,SNDRMNK,ST. PETERS,14023
UNV,UNIV,UNIVERSITY (SUNDERLAND),14030
SUN,SNDRLND,SUNDERLAND,14031
,SNDRBDS,SUNDERLAND BURDON DOCK SDG,14032
,SNDRMS,SUNDERLAND MIDDLE SIDINGS,14032
,SNDRSTH,SUNDERLAND SOUTH JN,14033
CIC,CIVI,PARK LANE (SUNDERLAND),14034
,SNDRLS,SUNDERLAND LONDONDERRY SDG,14035
PAI,PALL,PALLION STN T&WM,14037
MIF,MLLF,MILLFIELD STN T&WM,14038
STI,STDI,STADIUM OF LIGHT STN T&WM,14039
SHZ,STHH,SOUTH HYLTON,14040
,SDOCPSA,SOUTH DOCK PORT OF SLAND,14125
,HNDNSDG,HENDON NO 1 SIDING,14144
,RYHPGRN,RYHOPE GRANGE JN.,14147
,RYHPFHH,RYHOPE GRANGE SIDINGS,14148
,SEAHCLR,SEAHAM HARBOUR COLAS RAIL,14153
,SEAHFHH,SEAHAM HARBOUR (FHH),14154
,SEAHAMH,SEAHAM HARBOUR,14155
SEA,SEAHAM,SEAHAM,14156
,HDNELP,HALL DENE LOOP,14157
,SEAHPOL,DAWDON POLKA SIDING,14159
,SEAHDAW,DAWDON SB,14161
,SEAHBHF,BLACKHILLS FARM,14185
,CMTRYNH,CEMETERY NORTH JN.,14215
,CMTRRED,HARTLEPOOL REDLAND,14216
,HRTLPDA,HARTLEPOOL DOCK AREA,14223
,HRTLNK,HARTLEPOOL DK LINK FLOW,14224
HPL,HRTLEPL,HARTLEPOOL,14225
,CRHRTLP,CLARENCE ROAD JN.,14226
,SRTNJN,STRANTON JUNCTION,14227
,CLFH110,CLIFFE HOUSE UGL SIG 7110,14237
,CLFHJN,CLIFFE HOUSE JN.,14238
SEC,SETNCRW,SEATON CAREW,14239
,HRTLPSW,HARTLEPOOL STH WORKS,14240
,HRTL20,"HARTLEPOOL BSC 20"" MILL",14241
,HRTLREP,HARTLEPOOL STH WKS REPAIR,14242
,HRTLSWP,HARTLEPOOL STH WKS RAMCO,14243
,SETNSJN,SEATON SNOOK JN,14244
,SETNABL,SEATON-ON-TEES ABLE UK,14251
,SETNCEG,SEATON-O-T BRITISH ENERGY,14252
,GREATHM,GREATHAM,14261
,SEALSRL,SEAL SANDS RUNROUND LOOP,14998
,SEALSND,SEAL SANDS BRANCH JN,15000
,SEALSBA,SEAL SANDS BASF,15001
,SEALSMS,SEAL SANDS SIMONS STORAGE,15002
,PRTCLRP,PORT CLARENCE PETROPLUS,15003
,PRTCLRN,PORT CLARENCE JN.,15004
,PRTCGBR,PORT CLARENCE (GBRF),15005
,PRTCICI,PORT CLARENCE I.C.I,15006
,PRTCFHH,PORT CLARENCE (FLHH),15007
,PRTCPHL,PHILLIPS LOOP,15008
,HVRTBSB,BELASIS LANE S.B.,15015
,HVRTDRS,HAVERTON HILL EX. S. (DRS),15016
,HVRTDRR,HAVERTON HILL REPAIR (DRS),15017
,HVRTWRP,HAVERTON HILL (MARCROFT),15018
,HVRTFHH,HAVERTON HILL EX.S. (FHH),15019
,HVRTHEG,HAVERTON HILL EX.S.,15020
,BLNGMAR,BILLINGHAM MARCROFT ENG.,15021
,BLNGRFS,BILLINGHAM RFS ENG,15022
,BLNGHMJ,BILLINGHAM JN,15029
,NORTONS,NORTON SOUTH JN.,15032
,NORTONE,NORTON EAST JN.,15033
,NORTONW,NORTON WEST JN,15035
BIL,BLNGHM,BILLINGHAM,15039
,RSBYQRY,RAISBY QUARRIES,15102
,THRIFHH,THRISLINGTON (FLHH),15109
,FYHLGBF,FERRYHILL TC OLD YARD GBRF,15110
,THRIGBR,THRISLINGTON GBRF,15111
,THRISTE,THRISLINGTON STEETLEY,15112
,FYHLTHO,FERRYHILL THOMPSON,15113
,FYHLTC,FERRYHILL T.C. OLD YARD,15114
,FYHLMAR,FERRYHILL YARD MARCROFT,15115
,FYHLSJN,FERRYHILL STH. JN.,15120
,BRDBAP,BRADBURY APCO,15121
,FYHLPRM,PRESTON MANOR,15123
,MRDN194,MORDEN LC SIG NF7194,15124
,FYHLAYC,AYCLIFFE,15125
,MRDN195,MORDEN LC SIG NF7195,15126
,FYHLSTI,STILLINGTON,15135
,STOCDC,STOCKTON THOMPSON (DC),15221
STK,STOCTON,STOCKTON,15223
,STOCTMS,STOCKTON THOMSON,15224
,STOC907,STOCKTON 907 SIG,15226
,HRTBJN,HARTBURN JN,15227
,STOCGBF,STOCKTON THOMPSON GBRF,15228
,STOCCJN,STOCKTON CUT JN,15229
,TABY176,THORNABY SIG TY176,15315
TBY,TABY,THORNABY,15316
,TABYEJN,THORNABY EAST JN.,15317
,TEESYDS,TEES YARD DN STAGINGS FH,15318
,BOWSFLD,BOWESFIELD JN.,15319
,TEESY,TEES N.Y.,15400
XTE,TABYTMD,THORNABY T.M.D. (E.W.S.),15401
,TEESYHS,TEES N.Y. (HOLDING SDG.),15401
,TABYWRD,TEES SHOPS DBC C&W,15402
,TEESBAL,TEES CE SDGS,15403
,TEESCW,TEES YARD EWS C&W GRADING,15403
,TABYLTH,THORNABY EWS WHEEL LATHE,15405
,TEESYEE,TEES YARD EAST END,15406
,TABYNO1,THORNABY NO 1,15407
,TABYFLD,THORNABY T.M.D. (F'LINER),15408
,TEES137,TEES YARD SIGNAL TY137,15410
,TEESYDG,TEES YARD DN STAGING GBRF,15411
,TEES156,TEES YARD SIGNAL TY1560,15412
,TEESGFH,NEWPORT EAST GOODS (FLHH),15414
,TEESNEJ,NEWPORT EAST JN,15415
,MDLSFD,MIDDLESBRO' CASTLE CEMENT,15418
,MDLSMAR,MIDDLESBRO' GOODS MARCROFT,15419
,MDLSMRB,MIDDLESBROUGH MARSH BRANCH,15421
,MDLSCOB,MIDDLESBRO COBRA CONTAINER,15422
,MDLSFHH,MIDDLESBROUGH (FHH),15423
,MDLSDRS,MIDDLESBROUGH AYRTON DRS,15424
,MDLSAYR,MIDDLESBRO' DAWSON AYRTON,15425
,MDLSAFH,MIDDLEBROUGH AYRTON (FHH),15426
,MDLSDS,MIDDLESBROUGH DAWSON,15427
,MDLSBDR,MIDDLESBROUGH (DRS),15428
,MDLSDSG,MIDDLESBROUGH DAWSON GBRF,15429
MBR,MDLSBRO,MIDDLESBROUGH,15449
,MDLSSDG,MIDDLESBROUGH SIDINGS,15451
,MDLSWDK,MIDDLESBROUGH WEST DOCK,15452
,MDLS221,MIDDLESBROUGH SIGNAL 221,15453
,GUSBROJ,GUISBOROUGH JN,15454
NNT,NUNTHRP,NUNTHORPE,15501
MTO,MARTON,MARTON,15502
GYP,GYPSYLA,GYPSY LANE,15503
JCH,JAMCOK,JAMES COOK,15504
,NUNTHN1,NUNTHORPE SIGNAL N1,15505
GTA,GTAYTON,GREAT AYTON,15506
BTT,BTRSBY,BATTERSBY,15511
KLD,KLDL,KILDALE,15512
COM,COMONDL,COMMONDALE,15513
DNY,DANBY,DANBY,15515
LHM,LEALHLM,LEALHOLM,15516
CSM,CTNM,CASTLETON MOOR,15517
GLS,GLAISDL,GLAISDALE,15518
EGT,EGTON,EGTON,15519
XPK,PICKRNG,PICKERING,15520
,GROSNYM,GROSMONT NORTH YORKS MOORS,15521
GMT,GROSMNT,GROSMONT,15522
SLH,SLEGHTS,SLEIGHTS,15524
RUS,RUSWARP,RUSWARP,15526
XLA,PICKLEV,LEVISHAM,15527
,PICKNDL,NEWTON DALE HALT,15528
XGZ,GTHLAND,GOATHLAND,15529
WTB,WTBY,WHITBY,15531
,MDLSCAR,CARGO FLEET STOCKTON HLGE,15607
,WHTEHSJ,WHITEHOUSE JN.(TEESSIDE),15619
,WHTECAF,CARGO FLEET,15620
,STHBGBR,TEES DOCK GBRF,15622
,TEESDK,TEES DOCK EXPORT BERTH DBS,15623
,STHBNKJ,SOUTH BANK JN.,15624
SBK,STHBANK,SOUTH BANK,15625
,LACKFHH,LACKENBY SSI FHH,15626
,BEAMMLJ,BEAM MILL JN.,15628
,STHBDRS,SOUTH BANK TEES DOCK (DRS),15629
,LACKSLA,SLAG ROAD LC,15630
,STHBFLT,TEES DOCK (FLT),15631
,STHBCLA,TEES DOCK COAL LDG AREA,15632
,STHBCAR,TEES DOCK CAR TERMINAL,15633
,STHBEXP,TEES DOCK BSC EXPORT BERTH,15634
,STHBCLP,TEES DOCK CLEVELAND POTASH,15635
,GRTN,GRANGETOWN (CLEVELAND),15636
,GRTNJN,GRANGETOWN JUNCTION,15637
,LACKGBF,LACKENBY SSI GBRf,15638
,STHBFHH,SOUTH BANK TEES DOCK (FHH),15639
,LACKNBY,LACKENBY B.S.C.,15640
,LACKMAR,LACKENBY MARCROFT ENG.,15641
,LACKCW,SOUTH BANK LACKENBY C&W,15642
,GRTNSHJ,SHELL JUNCTION,15643
,REDCROJ,REDCAR ORE TERMINAL JN,15644
,REDCTPJ,TOD POINT JCN,15645
,WLTNCHP,WILTON C.H.P.,15646
,WLTNMAR,WILTON MARCROFT ENG.,15647
,WLTNICI,WILTON I.C.I.,15648
,WLTNFLT,WILTON F.L.T.,15649
,WLTNFHH,WILTON POWER STATION (FHH),15650
,REDCROT,REDCAR B.S.C. ORE T.,15651
,REDCRMT,REDCAR B.S.C. (MIN.T.),15652
,REDCFLH,REDCAR HIGH LEVEL (FLHH),15654
RBS,REDCBSC,BRITISH STEEL REDCAR,15656
,REDCGBF,REDCAR BULK TERMINAL GBRF,15657
,REDGBRF,REDCAR MINERAL TERM GBRf,15658
,WLTNGBF,WILTON POWER STATION GBRF,15660
RCC,REDCARC,REDCAR CENTRAL,15661
,REDCADL,REDCAR CENTRAL DOWN LOOP,15662
,REDCMTC,REDCAR MINERAL TERM COLAS,15663
RCE,REDCARE,REDCAR EAST,15664
,WLTNEFW,WILTON EFW TERMINAL,15665
LGK,LONGBCK,LONGBECK,15666
MSK,MRSK,MARSKE,15668
SLB,SBRN,SALTBURN,15671
,SBRNWJN,SALTBURN WEST JN,15673
,SBRNSDG,SALTBURN DOWN SIDINGS,15674
,SKNGRVW,SKINNINGROVE B.S.C.,15681
,CRGHSC1,CRAG HALL SIGNAL C1,15682
,CRGHLSB,CRAG HALL S.B.,15683
,BOULBYR,BOULBY POTASH RECP.,15684
,BOULFHH,BOULBY MINE CARLIN HOW FHH,15686
,EGLSMSL,EAGLESCLIFFE MARSHALLS EWS,15700
EAG,EGLSCLF,EAGLESCLIFFE,15701
ALW,ALLENSW,ALLENS WEST,15702
,EGLSCDL,EAGLESCLIFFE DOWN LOOP,15704
,ALLEURL,URLAY NOOK CROSSOVER,15705
TEA,TSDARPR,TEES-SIDE AIRPORT,15711
DND,DINSDAL,DINSDALE,15714
,EGATEBC,EASTGATE BLUE CIRCLE,15811
SNP,SHPE,STANHOPE,15816
