CRS,Tiploc,Description,Stannox
XLR,CANVLR,CANVEY LINK ROAD & DINANT,0
,CANVWF,CANVEY WATERSIDE FARM,0
CPB,CAPLBAN,CAPEL BANGOR,0
CKU,CARICOS,CARRICK-ON-SUIR,0
,CARPWJN,CARPENTERS ROAD WEST JN,0
,CARTBEE,CARTERTON BEEHIVE,0
CAB,CBREA,CARN BREA,0
ZCK,CCKFLUL,COCKFOSTERS LUL,0
,CDNL576,CARDONALD SIGNAL G576,0
,CEILYDN,CEI LLYDAN,0
,CHAGSCH,CHAGFORD SCHOOL,0
,CHARTSD,CHARTHAM SIDINGS,0
CVG,CHBUVIL,CHARLBURY VILLAGE,0
,CHDHNJ,CHEADLE HULME NORTH JN,0
,CHDHSJ,CHEADLE HULME SOUTH JN,0
,CHERTNJ,CHERITON JN,0
,CHESCJ7,CHESHUNT SIGNAL CJ7,0
XDM,CHIPCOK,CHIPPENHAM COCKLEBURY ROAD,0
XDN,CHIPNEW,CHIPPENHAM NEW RD BUS STOP,0
CRC,CHLTRAC,CHELTENHAM RACECOURSE,0
CPG,CHNOBUS,CHIPPING NORTON WEST ST,0
,CHNRBVH,"BLEDLOW, VILLAGE HALL",0
,CHNRESW,"CHINNOR, ESTOVER WAY",0
,CHNRLOW,"CHINNOR, LOWER ROAD",0
XCQ,CHNRRED,"CHINNOR, THE RED LION",0
,CHNRWHT,"CHINNOR, THE WHEATSHEAF",0
,CHPCMD,CHIPPING CAMPDEN,0
,CHRSBUS,CHRSTS HSPTL(BARNS GRN RD),0
,CHSSCCD,CHESSINGTON SOUTH SDGS,0
XCE,CHTMHCS,CHEETHAM HILL C.S.,0
,CLCHS16,COLCHESTER SIGNAL CO16,0
,CLCHSWY,STANWAY,0
CLX,CLONMEL,CLONMEL,0
,CLROSS,CULROSS,0
,CLVRTRJ,CULVERT ROAD JN,0
,CMCY,CWM CYNON,0
,CMRD,COOMBE ROAD,0
,CMUS,CAMBUS,0
CRP,CNRYNP,CAIRNRYAN (LOCH RYAN PORT),0
,CODFORD,CODFORD,0
CLO,COLL,COLL,0
CYA,COLONSY,COLONSAY,0
COK,CORK,CORK,0
,CORKBIF,CORK B&I FERRYPORT,0
COF,CORKRNG,CORK RINGASKIDDY FERRYPORT,0
,CORKTIV,CORK TIVOLI FERRYPORT,0
,CORNTON,CORNTON,0
XAO,CORSNEW,CORSHAM NEWLANDS ROAD,0
COC,COWDBUS,COWDEN CROSSROADS,0
ECW,COWESE,EAST COWES,0
XCW,COWESTW,COWES THETIS WHARF,0
WTW,COWESW,WEST COWES,0
,COWESWH,WEST COWES HOVERPORT,0
CPS,COWPBUS,COWPLAIN (SHOPS),0
XCF,CRDFAIR,CARDIFF INTERNATIONAL APT,0
CCB,CRDFBUS,CARDIFF CENTRAL BUS STN,0
,CRDFSTD,ST. DAVIDS HOUSE (KEEP),0
,CREWWLC,WILLASTON L.C. (CCTV),0
CRU,CRGURE,CRAIGNURE,0
,CROCOMB,CROWCOMBE,0
CRJ,CRUMPSL,CRUMPSALL,0
ZCO,CRXLEY,CROXLEY (LUL),0
CTB,CSBY,CASTLEBAY,0
,CSCR,CASTLE CAEREINION,0
,CSTLBS,CASTLETON (BUS STATION),0
,CTLYBSC,CANTLEY B.S.C.,0
,CULLMEM,CULLOMPTON MEMORIAL,0
XDX,CULLMKH,CULLOMPTON MARKET HOUSE,0
CUL,CUMBRAE,CUMBRAE SLIP,0
,CYFRNYD,CYFRONYDD,0
,DALSEGF,DALSTON EASTERN GRND FRAME,0
,DARBBUS,DARBY GREEN (GLOBE FM LNE),0
XDT,DARTCS,DARTFORD C.S.,0
DKR,DERKER,DERKER (METRO),0
XAQ,DEVIZES,DEVIZES MARKET PLACE,0
DVB,DEVLSBG,DEVIL'S BRIDGE,0
,DEVNARB,DEVONPORT ALBERT ROAD,0
,DGNH840,DAGENHAM FORD MC SIG 840,0
,DGNH842,DAGENHAM FORD MC SIG 842,0
,DIDCBWY,DIDCOT BROADWAY,0
DIE,DIEPPE,DIEPPE,0
,DLGO,DOLGOCH FALLS,0
,DLTN921,DLTN SIG 921,0
CAZ,DLTNCGK,CATTERICK GARRISON KEMMEL,0
XGO,DLTNCGP,CATTERICK CAMP CENTRE,0
CGT,DLTNCGT,CATTERICK GARRISON TESCO,0
RMK,DLTNRIM,RICHMOND (MARKET),0
TVA,DLTNTVA,TEES VALLEY AIRPORT,0
,DMBR617,DUMBARTON SIG YD617,0
,DMBR627,DUMBARTON SIG YD627,0
,DMBR629,DUMBARTON SIG YD629,0
DRD,DNRD,DANE ROAD,0
,DNSR,DUNSTER,0
XDY,DNSRSTP,DUNSTER STEEP,0
DBB,DOBSBRW,DOBBS BROW,0
,DOLM151,DOLLANDS MOOR SIGNAL 2151,0
,DOLM153,DOLLANDS MOOR SIGNAL 2153,0
,DOLM160,DOLLANDS MOOR SIGNAL 2160,0
,DOLM162,DOLLANDS MOOR SIGNAL 2162,0
,DOLM171,DOLLANDS MOOR SIGNAL 2171,0
,DOLMLL,DOLLANDS MOOR LOCO LOOP,0
BNX,DONCBRN,BARNSLEY INTERCHANGE,0
DFZ,DONCDSR,DARFIELD ROUNDABOUT,0
GOZ,DONCGPS,GOLDTHORPE POLICE STATION,0
DOZ,DONCNBS,DONCASTER INTERCHANGE,0
RHA,DONCRHA,ROBIN HOOD AIRPORT,0
DGS,DOUGLAS,DOUGLAS (ISLE OF MAN),0
,DOVEHVP,DOVER HOVERPORT,0
,DOVERCO,DOVER COMPLEX TRAIN FERRY,0
,DOVERD,DOVER DEPOT,0
ZDB,DPTFBD,DEPTFORD BRIDGE DLR,0
,DRSNGHM,DERSINGHAM BANK ROAD,0
XAP,DRTMPON,DARTMOUTH PONTOON,0
XMT,DRTMTH,DARTMOUTH,0
DPS,DUBLFST,DUBLIN PORT - STENA,0
DCL,DUBLINC,DUBLIN CONNOLLY,0
DFP,DUBLINF,DUBLIN FERRYPORT,0
DHT,DUBLINH,DUBLIN HEUSTON,0
,DUDLBS,DUDLEY BUS STATION,0
DUI,DUISBRG,DUISBURG HBF,0
DLE,DULOE,DULOE (CAUSELAND),0
,DUNDLEL,LOCHEE LYE,0
DLO,DUNLGHR,DUN LAOGHAIRE,0
DDB,DUNLHRM,DUN LAOGHAIRE MALIN,0
,DUNNING,DUNNING,0
DUO,DUNOON,DUNOON,0
DUU,DUNS,DUNS,0
XAD,DUNT,DUNSTABLE,0
DRY,DYMANOR,DRAYTON MANOR PARK,0
,DYMCHUR,DYMCHURCH,0
,EALINGC,EALING COMMON,0
,EARLSWS,EARLSWOOD SDGS,0
,EBOUSPS,EASTBOURNE SPIKE SIDING,0
,EBRYBGJ,EBURY BRIDGE JN,0
,EBSF531,EBBSFLEET INTL SIG AF531,0
,EBSF533,EBBSFLEET INTL SIG AF533,0
,EBWVRAS,RASSAU,0
,EBWVTCR,EBBW VALE TOWN CENTRE,0
,ECRO080,EAST CROYDON SIGNAL T1080,0
ZED,EDGWARE,EDGWARE (LUL),0
EDA,EDINAIR,EDINBURGH AIRPORT,0
EBS,EDINBUS,EDINBURGH BUS STATION,0
,EDINSTE,EDINBURGH S.& T.E.,0
,EGRYN,EGRYN,0
EIG,EIGG,EIGG,0
,ELBOWNJ,ELBOWEND JN,0
,ELGH103,EASTLEIGH SIGNAL E103,0
,ELGH105,EASTLEIGH SIG. E105,0
,ELGH26,EASTLEIGH SIGNAL E26,0
,ELGH32,EASTLEIGH SIGNAL E32,0
,ELGHE28,EASTLEIGH SIGNAL E28,0
,ELGHSCS,EASTLEIGH DEPOT CS,0
,ELGHSFP,EASTLEIGH DEPOT FP,0
,ELINTON,EAST LINTON,0
,ELLBNLL,ELL BOUNDARY NLL,0
EAS,ELSN,EARLSTON,0
EMA,EMPKAIR,EAST MIDLANDS AIRPORT (BUS,0
XFI,EMPKAR2,EAST MIDS AIPORT (BUS) 2,0
,EMPKAR3,EAST MIDS AIPORT (BUS) 3,0
,ENFCOAK,OAKWOOD LUL (ENFIELD),0
ENS,ENISCTY,ENNISCORTHY,0
ERB,ERIDBUS,ERIDGE (A26 BUS STOP),0
,ESKDALE,ESKDALE (DALEGARTH),0
XXT,EXETAIR,EXETER AIRPORT,0
,EXETPBS,EXETER PARIS ST. BUS STN.,0
,EXMODFS,EXMOUTH DK (FERRY STEPS),0
EYM,EYNMSHC,EYNSHAM CHURCH,0
,EYNMSHW,EYNSHAM WITNEY ROAD,0
FLS,FALSWTH,FAILSWORTH (METRO),0
,FAYGBUS,FAYGATE (POLICE HOUSE),0
,FBRNIOW,FISHBOURNE (I.O.W),0
FED,FERDALE,FERNDALE,0
,FFLD,FRESHFIELD HALT,0
,FILT343,FILTON SIG. 343,0
,FILTN06,FILTON SIGNAL DF06,0
,FILTONJ,FILTON JN,0
,FLKS62,FOLKESTONE EAST SHNT SG 62,0
